ticker,date,open,high,low,close,volume
TSLA,2010-06-29,1.2666670083999634,1.6666669845581055,1.1693329811096191,1.5926669836044312,281494500
TSLA,2010-06-30,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,257806500
TSLA,2010-07-01,1.6666669845581055,1.7280000448226929,1.3513330221176147,1.4639999866485596,123282000
TSLA,2010-07-02,1.5333329439163208,1.5399999618530273,1.24733304977417,1.2799999713897705,77097000
TSLA,2010-07-06,1.3333330154418945,1.3333330154418945,1.0553330183029175,1.0740000009536743,103003500
TSLA,2010-07-07,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,103825500
TSLA,2010-07-08,1.0759999752044678,1.1679999828338623,1.0379999876022339,1.1640000343322754,115671000
TSLA,2010-07-09,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,60759000
TSLA,2010-07-12,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,33037500
TSLA,2010-07-13,1.1593329906463623,1.2426669597625732,1.1266670227050781,1.2093329429626465,40201500
TSLA,2010-07-14,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779175,62928000
TSLA,2010-07-15,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,56097000
TSLA,2010-07-16,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,39319500
TSLA,2010-07-19,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,37297500
TSLA,2010-07-20,1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,27379500
TSLA,2010-07-21,1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,18787500
TSLA,2010-07-22,1.3666670322418213,1.4166669845581055,1.3580000400543213,1.399999976158142,14367000
TSLA,2010-07-23,1.4126670360565186,1.4373329877853394,1.4040000438690186,1.4193329811096191,9804000
TSLA,2010-07-26,1.4333330392837524,1.4333330392837524,1.3533329963684082,1.3966670036315918,13833000
